Submission ID,Project Title,Short Abstract,Keywords,TCM Classification,Omics Type,Source Type,Organism,Tissue,Disease,Repository,Publication Year,Sample Number,Submitted By,Institution,View Count,Like Count,Downloads,Updated At
tcmomics000838,Gomisin G inhibits pancreatic cancer cell growth through the Hippo-YAP signaling pathway,"This study investigates the inhibitory effect of Gomisin G on pancreatic cancer cell growth in SW1990 cells. It explores its mechanism of action, specifically focusing on its influence at the transcription level through the Hippo-YAP signaling pathway.",Gomisin G; pancreatic cancer; cell growth inhibition; Hippo-YAP signaling pathway; SW1990,TCM Active ingredient,Transcriptomics,manual collect,Homo sapiens,,pancreatic cancer,GEO,2024,4,838,wenzhou medical university,0,0,0,
tcmomics000842,Berberine protects against hepatocellular carcinoma progression by regulating intrahepatic T cell heterogeneity,"Berberine (BBR) protects against hepatocellular carcinoma (HCC) progression by regulating intrahepatic T cell heterogeneity. It reduces tumor burden and enhances T lymphocyte effector function, suggesting its potential as a therapeutic strategy by modulating the immune microenvironment.",Berberine;hepatocellular carcinoma;T cell heterogeneity;immune microenvironment;tumor immunity,TCM Active ingredient,Transcriptomics,manual collect,Mus musculus,,hepatocellular carcinoma,GEO,2025,18,842,Zhejiang University,0,0,0,
tcmomics000847,Astragaloside IV improves autism-like behaviors in BTBR mice by modulating CAMK2N2-dependent OXPHOS and neurotransmission in the mPFC,"Astragaloside IV ameliorates autism-like behaviors in BTBR mice by improving social deficits and repetitive behaviors. It normalizes neurotransmitter levels and reverses synaptic imbalance in the mPFC. Mechanistically, ASIV modulates CAMK2N2-dependent oxidative phosphorylation and neurotransmission, suggesting it as a potential therapeutic option for autism spectrum disorder.",Astragaloside IV;autism spectrum disorder;BTBR mice;CAMK2N2;oxidative phosphorylation;neurotransmission;medial prefrontal cortex,TCM Active ingredient,Transcriptomics,manual collect,Mus musculus,,autism spectrum disorder,GEO,2025,12,847,Third Military Medical University (Army Medical University),0,0,0,
tcmomics000848,Exploring the Molecular Basis and Mechanism of Rougan Keli in Alleviating Portal Hypertension in Liver Cirrhosis,"This study investigates the molecular basis and mechanism of Rougan Keli (Rgkl) in alleviating portal hypertension (PH) associated with liver cirrhosis, aiming to understand its therapeutic efficacy.",Rougan Keli;Portal Hypertension;Liver Cirrhosis;Molecular Basis;Mechanism,Modern formula,Transcriptomics,manual collect,Mus musculus,,Liver Cirrhosis,GEO,2024,9,848,nanjing university of chinese medicine,0,0,0,
tcmomics000850,Profiling the rat cortical single-cell transcriptome reveals the potential mechanism of specific mode electroacupuncture stimulation opening the blood-brain barrier,"This study utilized single-cell RNA sequencing to profile rat cortical cells, revealing the potential mechanism by which specific mode electroacupuncture stimulation opens the blood-brain barrier. It provides rich insights into the molecular and cellular architecture changes in the brain after electroacupuncture intervention for BBB material transport and drug delivery.",electroacupuncture;blood-brain barrier;single-cell RNA sequencing;rat cerebral cortex;mechanism,Acupuncture & moxibustion,Transcriptomics,manual collect,Rattus norvegicus,,,GEO,2024,10,850,Zhejiang Chinese Medical University,0,0,0,
tcmomics000030,Effect of artemisinin on the expression of lung cancer related genes in mice with lung cancer,This study investigates artemisinin's mechanism in lung cancer treatment using a mouse model. Gene expression profiles in lung tissues of artemisinin-treated mice were analyzed via RNA sequencing to understand its therapeutic effects.,artemisinin;lung cancer;gene expression;mouse model;mechanism,TCM Active ingredient,Transcriptomics,manual collect,Mus musculus,,lung cancer,GEO,2024,6,30,Nanyang Normal University,0,0,0,
tcmomics000852,Protective effect of Golden Bifid treatment on slow transit constipation rat,"This study investigates the protective effect of Golden Bifid treatment on loperamide-induced slow transit constipation in rats. It compares differentially expressed genes in colon tissue across control, loperamide-only, Golden Bifid-treated, and positive control groups.",Golden Bifid; slow transit constipation; rat model; gene expression; loperamide,Chinese patent medicine,Transcriptomics,manual collect,Rattus norvegicus,,slow transit constipation,GEO,2025,24,852,Fujian university of Traditional Chinese Medicine,0,0,0,
tcmomics000854,Transcriptome Responses to Different Nitrogen Levels Reveals Regulatory Networks for Icariin-Flavonoid Metabolism in Epimedium pubescens,"This study reveals how different nitrogen levels regulate growth and icariin-flavonoid metabolism in Epimedium pubescens. Transcriptome analysis identified specific regulatory networks and key genes (e.g., UGT, MYB) involved in flavonoid synthesis, offering insights for cultivation and high-nitrogen-use-efficiency breeding.",Epimedium pubescens;Icariin-Flavonoids;nitrogen levels;transcriptome;regulatory networks;flavonoid metabolism,Herb/herbal medicine,Transcriptomics,manual collect,Epimedium pubescens,,,GEO,2024,27,854,中国医学科学院药用植物研究所,0,0,0,
tcmomics000855,4T1 cells treated by Astragalin,"4T1 breast cancer cells were treated with Astragalin to investigate its effects on their cellular fate, exploring potential therapeutic implications.",Astragalin; 4T1 cells; breast cancer; cellular fate,TCM Active ingredient,Transcriptomics,manual collect,Mus musculus,,breast cancer,GEO,2025,2,855,Army Medical University,0,0,0,
tcmomics000856,"Beta,Beta-Dimethylacryloyl shikonin, mechanism of preventing and treating zebrafish soybean meal enteritis","This study investigates the transcriptomic mechanism of Beta,Beta-Dimethylacryloyl shikonin in preventing and treating zebrafish soybean meal enteritis, aiming to elucidate its therapeutic effects.","Beta,Beta-Dimethylacryloyl shikonin;transcriptomics;zebrafish;soybean meal enteritis",TCM Active ingredient,Transcriptomics,manual collect,Danio rerio,,soybean meal enteritis,GEO,2024,9,856,Beibu Gulf University,0,0,0,
tcmomics000857,Transcriptome profiling of the liver and white adipose tissue of DIO mice treated with halofuginone.,"This study investigates halofuginone's effects on gene expression in liver and white adipose tissue of DIO mice. As a derivative from Dichroa febrifuga, it influences metabolism via the amino acid starvation pathway, laying groundwork for metabolic disorder therapies.",halofuginone;transcriptome profiling;liver;white adipose tissue;DIO mice;metabolism;amino acid starvation pathway;Dichroa febrifuga,TCM Active ingredient,Transcriptomics,manual collect,Mus musculus,,obesity,GEO,2025,16,857,University of Science and Technology of China,0,0,0,
tcmomics000858,Magnesum Isoglycyrrhizinate augments lipid catabolism via immune-neuro modulation of catecholamine pathways,"Magnesum Isoglycyrrhizinate and its precursor Glycyrrhetinic acid exhibit anti-obesity effects by augmenting lipid catabolism. They modulate catecholamine pathways via immune-neuro mechanisms, affecting sympathetic innervation, MAOA expression, and targeting macrophage-sympathetic neuron crosstalk through TLR4 signaling.",Magnesum Isoglycyrrhizinate;Glycyrrhetinic acid;obesity;lipid catabolism;catecholamine pathways;immune-neuro modulation;MAOA;macrophages;TLR4 signaling,TCM Active ingredient,Transcriptomics,manual collect,Mus musculus,,obesity,GEO,2024,6,858,Chinese Academy of Sciences,0,0,0,
tcmomics000861,New insight into Ginseng root polysaccharide GRP-E1F2 on prodynorphin inhibition to delay senescence-associated neuroaging via modulating cellular senescence,"Ginseng root polysaccharide GRP-E1F2 delays senescence-associated neuroaging. It prolongs lifespan, mitigates senescence symptoms, and reduces neuronal abnormalities by inhibiting cellular senescence and down-regulating prodynorphin. This provides theoretical support for its anti-neuroaging application.",GRP-E1F2;Ginseng root polysaccharide;neuroaging;cellular senescence;prodynorphin inhibition;anti-aging,TCM Active ingredient,Transcriptomics,manual collect,Mus musculus,,,GEO,2025,9,861,Changchun University of Chinese Medicine,0,0,0,
tcmomics000862,Transcriptomics of C. chinensis and E. ulmoides treated aged C. elegans,"This study investigates the effects of *Cuscuta chinensis* and *Eucommia ulmoides* extracts on aged *C. elegans*. *C. chinensis* enhanced multiple health parameters and lifespan, while *E. ulmoides* primarily improved lifespan and stress resistance. Transcriptomics was used to explore the underlying mechanisms of these healthspan-enhancing effects.",Cuscuta chinensis;Eucommia ulmoides;C. elegans;aging;healthspan;lifespan;transcriptomics,Herb/herbal medicine,Transcriptomics,manual collect,Caenorhabditis elegans,,,GEO,2024,15,862,Humboldt-Universitaet zu Berlin,0,0,0,
tcmomics000865,Phenotypic Screening Uncovered Anti-Myocardial Fibrosis Candidates Using a Novel 3D Myocardial Tissue Under Hypoxia,"A novel 3D myocardial tissue model under hypoxia was developed to screen for anti-myocardial fibrosis (MF) candidates. 76 compounds from T. vernicifluum were screened, identifying LQ-40 and SQ-3 as promising anti-MF agents, validated in a mouse model.",myocardial fibrosis;3D myocardial tissue;hypoxia;T. vernicifluum;drug screening;LQ-40;SQ-3,Herb/herbal medicine,Transcriptomics,manual collect,Mus musculus,,myocardial fibrosis,GEO,2025,14,865,Beijing University of Chinese Medicine,0,0,0,
tcmomics000866,Curcumol Protects Against Myocardial Infarction by targeting STING to Suppress Type I Interferon Response in Macrophage,"Curcumol, a natural compound extracted from Curcumae Rhizoma, protects against myocardial infarction by targeting STING to suppress the type I interferon response in macrophages. This study investigates its cardioprotective mechanism through macrophage modulation.",Curcumol;Myocardial Infarction;STING;Type I Interferon;Macrophage;Curcumae Rhizoma;Cardioprotection,TCM Active ingredient,Transcriptomics,manual collect,Mus musculus,,myocardial infarction,GEO,2025,5,866,Shanghai Tenth People's Hospital,0,0,0,
tcmomics000867,ATF4-Mediated Metabolic Stress Response as a Therapeutic Vulnerability in Chordoma [MUG-Chor RNA-seq],"Chordoma lacks effective therapies. This study found that halofuginone and halofuginol effectively reduce chordoma cell viability by activating an ATF4-mediated metabolic stress response. In vivo models showed significant tumor inhibition, suggesting a novel therapeutic approach for chordoma by targeting metabolic stress pathways.",Chordoma;ATF4;Metabolic stress response;Halofuginone;Halofuginol;tRNA synthetase inhibitors;Therapeutic vulnerability,Other,Transcriptomics,manual collect,Homo sapiens,,chordoma,GEO,2024,40,867,University of Oxford,0,0,0,
tcmomics000868,Transcriptome analysis reveals the molecular mechanism of Baduanjin in improving type 2 diabetes,"This study investigates Baduanjin's molecular mechanism in type 2 diabetes (T2D) using transcriptome analysis. It detected lncRNA, circRNA, and mRNA levels in T2D patients before/after intervention, revealing differentially expressed genes linked to oxidative phosphorylation, offering molecular targets for Baduanjin's therapeutic use.",Baduanjin;type 2 diabetes;transcriptome analysis;lncRNA;circRNA;mRNA;molecular mechanism;oxidative phosphorylation,Other,Transcriptomics,manual collect,Homo sapiens,,type 2 diabetes,GEO,2025,10,868,"Beijing University of Chinese Medicine, Beijing",0,0,0,
tcmomics000869,RNA-seq data of ginsenoside Rg3-treated BGC823 gastric cancer cells,"This study explores ginsenoside Rg3's anti-gastric cancer mechanism, revealing it inhibits E2F-DP heterodimer formation and suppresses the p53-p21-cyclin/CDKs-RB signaling pathway. Rg3 shows potential as a low-toxicity, anti-tumor natural product for cancer treatment.",Ginsenoside Rg3; gastric cancer; RNA-seq; E2F-DP; p53-p21-cyclin/CDKs-RB pathway; anti-tumor activity,TCM Active ingredient,Transcriptomics,manual collect,Homo sapiens,,gastric cancer,GEO,2025,6,869,吉林大学,0,0,0,
tcmomics000872,Effect of Toosendanin on mRNA m6A Modification and Expression in Human hepatoma cell line HepG2,"Toosendanin inhibits the cell cycle of human hepatoma HepG2 cells. This study investigates the underlying mechanism, specifically focusing on its effect on mRNA m6A modification and expression using mRNA-seq and MeRIP-seq.",Toosendanin; mRNA m6A modification; HepG2; cell cycle; mRNA-seq; MeRIP-seq,TCM Active ingredient,Transcriptomics,manual collect,Homo sapiens,,hepatoma,GEO,2025,12,872,Fujian Medical University,0,0,0,
tcmomics000873,Investigating the potential molecular mechanisms of mogroside V on glucose homeostasis by transcriptome profiling of adult mouse hypothalamic cells,"This study investigates mogroside V's effects on glucose homeostasis and molecular mechanisms in mouse hypothalamic cells using transcriptome profiling. It reveals activation of Notch, FoxO, and AMPK signaling pathways, along with antioxidant properties, demonstrating dose-dependent effects on glucose metabolism under normal conditions.",mogroside V;glucose homeostasis;hypothalamic cells;transcriptome profiling;Notch signaling;FoxO signaling;AMPK signaling;oxidative stress,TCM Active ingredient,Transcriptomics,manual collect,Mus musculus,,,GEO,2024,24,873,University of Agriculture in Krakow,0,0,0,
tcmomics000874,Correlation with Apoptosis Process through RNA-Seq Data Analysis of Hep3B Hepatocellular Carcinoma Cells Treated with Glehnia littoralis Extract (GLE),"Glehnia littoralis extract (GLE) induces apoptosis in Hep3B hepatocellular carcinoma cells. RNA-seq analysis revealed differential gene expression, identifying key genes (e.g., GADD45B, DDIT3) associated with the apoptotic process, suggesting GLE's potential in hepatocellular carcinoma management.",Glehnia littoralis; GLE; hepatocellular carcinoma; Hep3B cells; RNA-seq; apoptosis; gene expression; anticancer activity,Herb/herbal medicine,Transcriptomics,manual collect,Homo sapiens,,hepatocellular carcinoma,GEO,2024,2,874,Gyeongsang National University,0,0,0,
tcmomics000875,Next generation sequencing analyses shed light on the cold adaptation mechanisms of Saposhnikovia divaricata (Turcz.) Schischk,"This study utilized next-generation sequencing to analyze transcriptome profiles of Saposhnikovia divaricata under cold stress conditions (4掳C for 6h/48h). The research aimed to elucidate the plant's cold adaptation mechanisms, providing the first detailed transcriptomic analysis with biological replicates for this herb.",Saposhnikovia divaricata;cold adaptation;next-generation sequencing;transcriptome profiling,Herb/herbal medicine,Transcriptomics,manual collect,Saposhnikovia divaricata,,,GEO,2024,9,875,Qiqihar Medical University,0,0,0,
tcmomics000877,Transcriptome sequencing of ARPE-19 cells treated with cinobufagin,"This study investigates the alterations in the transcriptomic landscape of ARPE-19 cells following treatment with cinobufagin. It aims to reveal the molecular mechanisms and cellular responses induced by cinobufagin, providing insights into its pharmacological actions.",cinobufagin;transcriptome sequencing;ARPE-19 cells;cellular alterations,TCM Active ingredient,Transcriptomics,manual collect,Homo sapiens,,,GEO,2024,6,877,Huazhong University of Science and Technology Union Shenzhen Hospital,0,0,0,
tcmomics000878,Multiscale drug screening for cardiac fibrosis identifies MD2 as a therapeutic target,"This study investigates the antifibrotic effects of artesunate in human primary fibroblasts using RNA-seq. The research aims to identify potential therapeutic targets for cardiac fibrosis through multiscale drug screening, with a focus on MD2.",artesunate;antifibrotic;cardiac fibrosis;MD2;RNA-seq;fibroblasts;drug screening,TCM Active ingredient,Transcriptomics,manual collect,Homo sapiens,,cardiac fibrosis,GEO,2025,18,878,Stanford University,0,0,0,
tcmomics000880,Molecular mechanisms of the Xiao-chai-hu-tang on chronic stress-induced colorectal cancer growth based on an integrated network pharmacology and RNA sequencing approach with experimental validation,"Xiao-chai-hu-tang (XCHT) significantly inhibits chronic stress-induced colorectal cancer growth in a dose-dependent manner. Mechanistically, XCHT suppresses glycolysis-associated enzymes and inflammatory factors, and mitigates the JAK2/STAT3 signaling pathway activated by chronic stress-induced IL-6.",Xiao-chai-hu-tang;chronic stress;colorectal cancer;network pharmacology;RNA sequencing;JAK2/STAT3;glycolysis;inflammation,Classic formula,Transcriptomics,manual collect,Mus musculus,,colorectal cancer,GEO,2025,12,880,Shanghai University of Traditional Chinese Medicine,0,0,0,
tcmomics000888,Single-Cell RNA Sequencing Reveals Shenbai Granule Retards Colorectal Tumorigenesis by Modulating Cholesterol-Induced Ccl22+ DCs and Tregs Crosstalk,"Single-cell RNA sequencing revealed that Shenbai Granule (SBG) retards colorectal tumorigenesis by modulating cholesterol-induced Ccl22+ DCs and Tregs crosstalk. SBG reduces tumor number and volume, reversing the accumulation of Ccl22+ DCs and enhanced interactions with CD4+ regulatory T cells.",Shenbai Granule; colorectal tumorigenesis; tumor microenvironment; single-cell RNA sequencing; Ccl22+ DCs; Tregs; berberine; cholesterol,Chinese patent medicine,Transcriptomics,manual collect,Homo sapiens,,colorectal tumorigenesis,GEO,2025,15,888,Nanjing University,0,0,0,
tcmomics000889,NIH3T3 serum stimulation and cordycepin treatment (Agilent mouse 60K microarray),"Cordycepin, an active metabolite, inhibits growth factor-induced gene expression by rapidly blocking PI3K/AKT/mTOR and/or MEK/ERK pathways. It demonstrates a similar mechanism of action across cell lines, targeting a cordycepin triphosphate-sensitive molecule crucial for growth factor signal transduction.",cordycepin;cancer;mechanism of action;PI3K/AKT/mTOR;MEK/ERK;gene expression;signal transduction;cordycepin triphosphate,TCM Active ingredient,Transcriptomics,manual collect,Mus musculus,,,GEO,2025,8,889,University of Nottingham,0,0,0,
tcmomics000890,MCF-7 cordycepin treatment (Agilent mouse 60K microarray),"Cordycepin, a potential cancer treatment, represses growth factor induced gene expression. It blocks PI3K/AKT/mTOR and/or MEK/ERK pathways, with cordycepin triphosphate being the active metabolite. Its rapid action targets signal transduction mechanisms across cell lines.",cordycepin;cancer;MCF-7;PI3K/AKT/mTOR pathway;MEK/ERK pathway;gene expression,TCM Active ingredient,Transcriptomics,manual collect,Homo sapiens,,breast cancer,GEO,2025,6,890,University of Nottingham,0,0,0,
tcmomics000892,Transcriptome Analysis of Porcine Immune Cells Stimulated by Porcine Reproductive and Respiratory Syndrome Virus (PRRSV) and Caesalpinia sappan Extract,"Transcriptome analysis revealed that Caesalpinia sappan extract modulated porcine peripheral blood mononuclear cells infected with PRRSV. It induced cellular stress, regulated by the NF-κB signaling pathway, creating an adverse environment for the virus. This suggests its potential as a modulator for PRRSV infection.",Caesalpinia sappan extract; PRRSV; transcriptome analysis; porcine immune cells; NF-κB signaling pathway; cellular stress response,Herb/herbal medicine,Transcriptomics,manual collect,Sus scrofa,,PRRSV infection,GEO,2025,6,892,Chiang Mai University,0,0,0,
tcmomics000893,MCF-7 cordycepin polysome profiling,"Cordycepin, a potential cancer treatment, acts as cordycepin triphosphate. It represses growth factor-induced gene expression by blocking PI3K/AKT/mTOR and/or MEK/ERK pathways, rapidly affecting translation. Its target is a molecule crucial for growth factor signal transduction.",cordycepin;3'-deoxyadenosine;cancer;PI3K/AKT/mTOR;MEK/ERK;polysome profiling;mechanism of action;growth factor signal transduction;MCF-7,TCM Active ingredient,Transcriptomics,manual collect,Homo sapiens,,breast cancer,GEO,2025,8,893,University of Nottingham,0,0,0,
tcmomics000894,A systems pharmacology study of cordycepin demonstrates it blocks growth factor signal transduction,"This study investigates cordycepin's mechanism of action, confirming cordycepin triphosphate as the active metabolite. It demonstrates that cordycepin represses growth factor-induced gene expression by blocking PI3K/AKT/mTOR and MEK/ERK pathways. This rapid process indicates a consistent therapeutic target in growth factor signal transduction across various cell lines.",cordycepin;systems pharmacology;growth factor;signal transduction;PI3K/AKT/mTOR;MEK/ERK;cancer,TCM Active ingredient,Transcriptomics,manual collect,Homo sapiens,,,GEO,2025,12,894,University of Nottingham,0,0,0,
tcmomics000896,Ginseng nanoparticles inhibit lung cancer cell migration by direct cell surface interaction-associated mechanical stress,Ginseng nanoparticles inhibit lung cancer cell migration by direct cell surface interaction-associated mechanical stress. This research explores the potential of biologically derived ginseng as a promising avenue for developing novel ginseng-based therapeutic materials.,Ginseng nanoparticles;lung cancer;cell migration;mechanical stress;biologically derived ginseng,Herb/herbal medicine,Transcriptomics,manual collect,Homo sapiens,,lung cancer,GEO,2025,4,896,ajou univ,0,0,0,
tcmomics000899,?|??-Asarone promotes tendon-bone healing through regulating Dmp1 transcription via targeting transcription factor PPARG,"Alpha-asarone (αASA) promotes tendon-bone healing by regulating Dmp1 transcription via targeting transcription factor PPARG. Demonstrated in mouse models and human BMSCs, this suggests its therapeutic potential for tendon-bone interface repair and osteogenic differentiation.",alpha-asarone;tendon-bone healing;Dmp1;PPARG;osteogenic differentiation;Calamus,TCM Active ingredient,Transcriptomics,manual collect,Mus musculus,,,GEO,2025,12,899,Nanfang Hospital,0,0,0,
tcmomics000900,Natural plant-derived superoxide dismutase nanoenzyme for sepsis-induced liver injury therapy.,"A natural plant-derived superoxide dismutase nanoenzyme (G-CDs from Glycyrrhiza) effectively treats sepsis-induced liver injury (SILI). It scavenges ROS, reduces inflammation, and protects liver tissue by activating Keap-1/Nrf-2 and inhibiting NF-κB, showing promise for SILI therapy.",Glycyrrhiza; G-CDs; superoxide dismutase nanoenzyme; sepsis-induced liver injury; ROS scavenging; anti-inflammation; Keap-1/Nrf-2 pathway; NF-κB pathway,Other,Transcriptomics,manual collect,Mus musculus,,sepsis-induced liver injury,GEO,2025,9,900,Shandong First Medical University,0,0,0,
tcmomics000973,Comparative study of transcriptome expression in water extract and ethanol extract of Schisandra chinensis,This study compared transcriptome expression and modes of action of Schisandra chinensis water and ethanol extracts in SW1783 cell line to understand their differential biological effects.,Schisandra chinensis;water extract;ethanol extract;transcriptome expression;SW1783 cell line,Herb/herbal medicine,Transcriptomics,manual collect,Homo sapiens,,,GEO,2025,24,973,Korean Institute of Oriental Medicine,0,0,0,
tcmomics000901,Honokiol attenuates oxidative stress and vascular calcification in chronic kidney disease via the upregulation of heme oxygenase-1,"This study reports the protective effect of Honokiol (HKL) on vascular calcification in chronic kidney disease. It attenuates oxidative stress and vascular calcification by upregulating heme oxygenase-1, with RNA-seq performed to elucidate the underlying molecular mechanism.",Honokiol;oxidative stress;vascular calcification;chronic kidney disease;heme oxygenase-1,TCM Active ingredient,Transcriptomics,manual collect,Homo sapiens,,chronic kidney disease,GEO,2024,6,901,"Zhujiang Hospital, Southern Medical University",0,0,0,
tcmomics000904,Development of mRNA expression signatures for Nao Yi Kang decoction in treating  intracerebral hemorrhage,"Nao Yi Kang decoction (NYKD) is investigated for its therapeutic effects on intracerebral hemorrhage (ICH) through mRNA expression profiling. The study aims to identify potential mRNA signatures associated with NYKD treatment in ICH, revealing specific differentially expressed mRNAs.",Nao Yi Kang decoction;NYKD;intracerebral hemorrhage;ICH;mRNA expression profiling;differentially expressed mRNAs,Modern formula,Transcriptomics,manual collect,Mus musculus,,intracerebral hemorrhage,GEO,2025,15,904,Central South University,0,0,0,
tcmomics000905,ZNF207-YWHAZ Enhances Breast Cancer Proliferation and Chemotherapy Resistance by Activating the HIF-1alpha-PPARgamma-PKM2 Signaling Axis.,"ZNF207-YWHAZ enhances breast cancer proliferation and chemotherapy resistance by activating HIF-1alpha-PPARgamma-PKM2 signaling. ZNF207 is elevated in hypoxic breast cancer, promoting cell growth and drug resistance. Sappanchalcone, a ZNF207 inhibitor, impedes progression and synergizes with chemotherapy.",ZNF207; YWHAZ; breast cancer; chemotherapy resistance; HIF-1alpha; PPARgamma; PKM2; signaling pathway; proliferation; Sappanchalcone; hypoxia,TCM Active ingredient,Transcriptomics,manual collect,Homo sapiens,,breast cancer,GEO,2024,6,905,China Medical University,0,0,0,
tcmomics000906,ZNF207-YWHAZ Enhances Breast Cancer Proliferation and Chemotherapy Resistance by Activating the HIF-1alpha-PPARgamma-PKM2 Signaling Axis,"ZNF207-YWHAZ complex promotes breast cancer proliferation and chemotherapy resistance by activating the HIF-1alpha-PPARgamma-PKM2 signaling pathway, primarily under hypoxic conditions. Sappanchalcone, a ZNF207 inhibitor, shows therapeutic potential.",ZNF207;YWHAZ;breast cancer;chemotherapy resistance;HIF-1alpha;hypoxia;proliferation;Sappanchalcone,TCM Active ingredient,Transcriptomics,manual collect,Homo sapiens,,breast cancer,GEO,2024,6,906,China Medical University,0,0,0,
tcmomics000907,DuShen Decoction protects rats from sepsis and hemorrhagic shock and alleviates sepsis-induced acute lung injury by inhibiting HSPs mediated endoplasmic reticulum stress,"DuShen Decoction protects rats from sepsis and hemorrhagic shock, alleviating sepsis-induced acute lung injury. It reduces HSPs transcription in lung by inhibiting HSF1/HSF2 expression, nuclear translocation, and HSF DNA binding, thereby mitigating endoplasmic reticulum stress.",DuShen Decoction;sepsis;hemorrhagic shock;acute lung injury;HSPs;endoplasmic reticulum stress;HSF1;HSF2,Classic formula,Transcriptomics,manual collect,Rattus norvegicus,,sepsis,GEO,2025,15,907,Changchun University of Chinese Medicine,0,0,0,
tcmomics000908,"Gene expression changes in skin of dihydrotestosterone-induced mice after treatment of a newly-developed traditional Chinese medicine formula, Hanlianxiang.","This study investigated the effects of a newly-developed TCM formula, Hanlianxiang (HLX), on gene expression changes in the skin of dihydrotestosterone-induced mice for androgenetic alopecia treatment.",Hanlianxiang;androgenetic alopecia;gene expression;dihydrotestosterone;mouse model,Modern formula,Transcriptomics,manual collect,Mus musculus,,androgenetic alopecia,GEO,2025,24,908,Tsinghua University,0,0,0,
tcmomics000910,Electroacupuncture-Driven Angiogenesis After Cerebral Infarction: Modulating VEGFR via the rno_circ_011971/miR-196c-5p/ARL13B Pathway,"Electroacupuncture promotes angiogenesis and improves neurological function after cerebral infarction. It acts by modulating VEGFR through the rno_circ_011971/miR-196c-5p/ARL13B pathway, providing insights into its therapeutic mechanisms for cerebral infarction.",Electroacupuncture; Angiogenesis; Cerebral infarction; rno_circ_011971; miR-196c-5p; ARL13B; VEGFR,Acupuncture & moxibustion,Transcriptomics,manual collect,Rattus norvegicus,,Cerebral Infarction,GEO,2024,9,910,"Tianjin Academy of Traditional Chinese Medicine Affiliated Hospital, Tianjin, China",0,0,0,
tcmomics000911,Fagopyrum acutatum extract attenuates influenza A virus-stimulated inflammation and lung injury via NF-kB signaling pathway in vitro and in vivo,"Fagopyrum acutatum extract (FAE) effectively attenuates influenza A virus (IAV)-stimulated inflammation and lung injury. This study investigated FAE's protective mechanisms, identifying its action through the NF-κB signaling pathway both in vitro and in vivo.",Fagopyrum acutatum extract;influenza A virus;inflammation;lung injury;NF-kB signaling pathway,Herb/herbal medicine,Transcriptomics,manual collect,Homo sapiens,,Influenza A,GEO,2025,9,911,Guangzhou Medical University,0,0,0,
tcmomics000974,Function and Mechanism of METTL5-mediated translation in multiple myeloma,"METTL5 is upregulated in multiple myeloma, correlating with poor prognosis and promoting disease progression by affecting translation and selenium metabolism. Salvianolic Acid C, a compound of TCM origin, inhibits METTL5, inducing apoptosis in MM cells.",METTL5; multiple myeloma; m6A methyltransferase; translation; selenium metabolism; apoptosis; Salvianolic Acid C,TCM Active ingredient,Transcriptomics,manual collect,Homo sapiens,,multiple myeloma,GEO,2025,12,974,"The Second Affiliated Hospital, Jiangxi Medical College, Nanchang University",0,0,0,
tcmomics000912,Investigation of genes involoved in Corydalis incisa (Thunb.) Pers. (CIP)-induced differentiation in acute myeloid leukemia (AML).,"This study investigates *Corydalis incisa (CIP)* for its differentiation-inducing activity in acute myeloid leukemia (AML). CIP effectively induced myeloid differentiation, decreased cell viability, and increased apoptosis. Researchers used mRNA sequencing to understand CIP-induced differentiation and identify potential targets.",Corydalis incisa;acute myeloid leukemia;differentiation therapy;myeloid differentiation;apoptosis;mRNA sequencing,Herb/herbal medicine,Transcriptomics,manual collect,Homo sapiens,,acute myeloid leukemia,GEO,2025,6,912,Pusan national university,0,0,0,
tcmomics000914,Erianin abrogates vasculogenic mimicry through targeting m5C methylase NSUN2,"Erianin, a natural product from Dendrobium chrysotoxum, effectively inhibits uveal melanoma progression. It abrogates vasculogenic mimicry by targeting m5C methylase NSUN2, decreasing m5C modification and CHAC1 expression. This study unveils a novel therapeutic strategy for combating uveal melanoma.",erianin;vasculogenic mimicry;NSUN2;m5C modification;uveal melanoma;Dendrobium chrysotoxum,TCM Active ingredient,Transcriptomics,manual collect,Homo sapiens,,uveal melanoma,GEO,2024,8,914,"Ninth People`s Hospital, Shanghai Jiao Tong University School of Medicine",0,0,0,
tcmomics000915,Comparative evaluation of the biological characteristics of a novel retinoid X receptor agonist and bexarotene,"This study compares a novel synthetic RXR agonist, 6OHA (derived from magnaldehyde B), with bexarotene. 6OHA exhibits superior selectivity, distinct transcriptional effects, better pharmacokinetics, and lacks adverse effects, suggesting its potential as a promising Alzheimer's disease treatment.",6OHA; bexarotene; retinoid X receptor agonist; Alzheimer's disease; drug discovery; comparative evaluation; magnaldehyde B,TCM Active ingredient,Transcriptomics,manual collect,Mus musculus,,Alzheimer's disease,GEO,2024,5,915,Aichi Gakuin University,0,0,0,
tcmomics000031,Effect of C2S in RAW264.7 murine macrophages,"This study investigates C2S-induced macrophagic inflammation in RAW264.7 cells and its effect on osteogenic differentiation. RNA sequencing analyzed mechanisms of mitochondrial function and autophagy, providing insights into the inflammatory response.",C2S;macrophages;inflammation;osteogenic differentiation;mitochondrial function;autophagy;RAW264.7,TCM Active ingredient,Transcriptomics,manual collect,Mus musculus,,,GEO,2023,6,31,Affiliated Stomatology Hospital of Guangzhou Medical University,0,0,0,
